Push-ups,Bodyweight exercise for chest and arms,Chest,none,beginner
Squats,Bodyweight exercise for legs and glutes,Legs,none,beginner
Sit-ups,Bodyweight exercise for abs and core,Abs,none,beginner
Bicep Curls,Dumbbell exercise for biceps,Biceps,Dumbbells,intermediate
Tricep Extensions,Dumbbell exercise for triceps,Triceps,Dumbbells,intermediate
Lunges,Bodyweight exercise for legs and glutes,Legs,none,beginner
Deadlifts,Barbell exercise for back and legs,Back,Barbell,intermediate
Crunches,Bodyweight exercise for abs and core,Abs,none,beginner
Pull-ups,Bodyweight exercise for back and biceps,Back,none,intermediate
Plank,Bodyweight exercise for abs and core,Abs,none,beginner
Bicep Curls,Stand with your feet shoulder-width apart,Arms,Dumbbells,Beginner
Tricep Dips,Place your hands shoulder-width apart on a stable chair or bench,Arms,Body weight,Beginner
Jumping Jacks,Start with your feet together and your arms at your sides,Full body,None,Beginner
Push-Ups,Start in a plank position with your hands slightly wider than shoulder-width apart,Arms,Body weight,Intermediate
Squats,Stand with your feet shoulder-width apart and your toes pointing forward,Legs,None,Beginner
Lunges,Stand with your feet shoulder-width apart and your hands on your hips,Legs,None,Intermediate
Plank,Start in a push-up position with your forearms on the ground,Core,None,Intermediate
Burpees,Start in a standing position with your feet shoulder-width apart,Full body,None,Intermediate
Sit-Ups,Lie on your back with your knees bent and your feet flat on the ground,Core,None,Beginner
Mountain Climbers,Start in a push-up position with your hands shoulder-width apart,Full body,None,Intermediate
Deadlifts,Stand with your feet shoulder-width apart and your hands on your thighs,Legs,Barbell,Intermediate
Calf Raises,Stand with your feet shoulder-width apart and your toes pointing forward,Legs,Dumbbells,Beginner
Bench Press,Start by lying flat on a bench with your feet flat on the ground,Arms,Barbell,Intermediate
Leg Press,Start by sitting on the leg press machine with your back against the pad,Legs,Machine,Beginner
Lat Pull-Downs,Start by sitting at the lat pull-down machine with your feet flat on the ground,Back,Machine,Beginner
Russian Twists,Start by sitting on the ground with your knees bent and your feet flat on the ground,Core,Medicine ball,Intermediate
Pull-Ups,Start by hanging from a pull-up bar with your hands shoulder-width apart,Back,Body weight,Intermediate
Dumbbell Rows,Start by standing with your feet shoulder-width apart and your knees slightly bent,Back,Dumbbells,Intermediate
Bicycle Crunches,Lie on your back with your knees bent and your feet flat on the ground,Core,None,Intermediate
Shoulder Press,Stand with your feet shoulder-width apart and your hands holding dumbbells,Arms,Dumbbells,Intermediate
Side Plank,Start by lying on your side with your legs straight and your elbow under your shoulder,Core,None,Intermediate
Hip Thrusts,Start by sitting on the ground with your knees bent and your feet flat on the ground,Legs,Barbell,Beginner
Flutter Kicks,Lie on your back with your legs straight and your arms at your sides,Core,None,Beginner
Reverse Crunches,Lie on your back with your knees bent and your feet flat on the ground,Core,None,Beginner
Leg Extensions,Start by sitting on the leg extension machine with your back against the pad,Legs,Machine,Intermediate
Leg Curls,Start by lying face down on the leg curl machine with your ankles under the pads,Legs,Machine,Intermediate
Dumbbell Flys,Start by lying flat on a bench with your feet flat on the ground,Arms,Dumbbells,Beginner